hostname,host_address,group 1,group 2,group 3,var: hostname,H.var: hot_standby_server,H.var: hot_standby_master,L.var: postgresql_replication_slots,var: replication_slot,var: disable_archive_cleanup_cron,var: elasticsearch_node_name
pgsynclog1,100.71.184.252,postgresql,synclog_dbs,,MUMGCCWCDPRDPSLV0,pgsynclog1standby,pgsynclog0,"[""spare"",""standby0""]",,TRUE,
pgsynclog1standby,100.71.184.251,pg_standby,synclog_dbs,elasticsearch,MUMGCCWCDPRDPSLV1,,pgsynclog1,,standby0,,es34
,,,,,,,,,,,
group,var,val,type,,,,,,,,
shard_dbs,ansible_python_interpreter,/usr/bin/python3,S,,,,,,,,
main_dbs,pgbouncer_default_pool,775,I,,,,,,,,
main_dbs,postgresql_checkpoint_completion_target,0.7,F,,,,,,,,
main_dbs,postgresql_default_statistics_target,100,I,,,,,,,,
main_dbs,postgresql_maintenance_work_mem,2GB,S,,,,,,,,
main_dbs,postgresql_max_connections,400,I,,,,,,,,
main_dbs,postgresql_wal_buffers,16MB,S,,,,,,,,
main_dbs,postgresql_work_mem,41943kB,S,,,,,,,,
main_dbs,postgresql_max_wal_size,4GB,S,,,,,,,,
main_dbs,postgresql_min_wal_size,2GB,S,,,,,,,,
main_dbs,pgbouncer_max_connections,8000,I,,,,,,,,
plproxy,pgbouncer_default_pool,1150,I,,,,,,,,
plproxy,postgresql_checkpoint_completion_target,0.9,F,,,,,,,,
plproxy,postgresql_default_statistics_target,100,I,,,,,,,,
plproxy,postgresql_maintenance_work_mem,2GB,S,,,,,,,,
plproxy,postgresql_max_connections,1200,I,,,,,,,,
plproxy,pgbouncer_max_connections,8000,I,,,,,,,,
plproxy,postgresql_wal_buffers,16MB,S,,,,,,,,
plproxy,postgresql_work_mem,41943kB,S,,,,,,,,
shard_dbs,pgbouncer_default_pool,800,I,,,,,,,,
shard_dbs,pgbouncer_max_connections,5000,I,,,,,,,,
shard_dbs,postgresql_checkpoint_completion_target,0.9,F,,,,,,,,
shard_dbs,postgresql_default_statistics_target,100,I,,,,,,,,
shard_dbs,postgresql_maintenance_work_mem,2GB,S,,,,,,,,
shard_dbs,postgresql_max_connections,1200,I,,,,,,,,
shard_dbs,postgresql_wal_buffers,16MB,S,,,,,,,,
shard_dbs,postgresql_work_mem,3276kB,S,,,,,,,,
shard_dbs,postgresql_max_wal_size,4GB,S,,,,,,,,
shard_dbs,postgresql_min_wal_size,2GB,S,,,,,,,,
shard_dbs,dirty_background_bytes,83886080,I,,,,,,,,
shard_dbs,postgresql_wal_level,logical,S,,,,,,,,
shard_dbs,postgresql_max_worker_processes,8,I,,,,,,,,
shard_dbs,postgresql_shared_preload_libraries,"[""pg_stat_statements"",""pglogical""]",L,,,,,,,,
synclog_dbs,pgbouncer_default_pool,775,I,,,,,,,,
synclog_dbs,postgresql_checkpoint_completion_target,0.9,F,,,,,,,,
synclog_dbs,postgresql_default_statistics_target,100,I,,,,,,,,
synclog_dbs,postgresql_maintenance_work_mem,2GB,S,,,,,,,,
synclog_dbs,postgresql_max_connections,800,I,,,,,,,,
synclog_dbs,pgbouncer_max_connections,8000,I,,,,,,,,
synclog_dbs,postgresql_wal_buffers,16MB,S,,,,,,,,
synclog_dbs,postgresql_work_mem,41943kB,S,,,,,,,,
synclog_dbs,postgresql_vacuum_cost_limit,1200,I,,,,,,,,
synclog_dbs,postgresql_autovacuum_max_workers,5,I,,,,,,,,
synclog_dbs,postgresql_autovacuum_analyze_scale_factor,0.05,F,,,,,,,,
synclog_dbs,postgresql_autovacuum_multixact_freeze_max_age,1000000000,I,,,,,,,,
synclog_dbs,postgresql_autovacuum_vacuum_scale_factor,0.1,F,,,,,,,,
shard_dbs,postgresql_vacuum_cost_limit,1200,I,,,,,,,,
shard_dbs,postgresql_autovacuum_max_workers,5,I,,,,,,,,
shard_dbs,postgresql_autovacuum_analyze_scale_factor,0.05,F,,,,,,,,
shard_dbs,postgresql_autovacuum_multixact_freeze_max_age,1000000000,I,,,,,,,,
shard_dbs,postgresql_autovacuum_vacuum_scale_factor,0.1,F,,,,,,,,
postgresql,postgresql_random_page_cost,1.1,F,,,,,,,,
pg_standby,postgresql_random_page_cost,1.1,F,,,,,,,,
postgresql,postgresql_enable_archive,True,B,,,,,,,,
postgresql,postgresql_archive_path,/wal_archive,S,,,,,,,,
postgresql,postgresql_archive_command,cp %p /wal_archive/%f,S,,,,,,,,
